paper_id,title,year,doi,source_url
01-1108-NGO DUC LUU(1-7)316,Application of deep learning for rice leaf disease detection in the Mekong Delta,2024,10.22144/ctujoisd.2024.316,https://doi.org/10.22144/ctujoisd.2024.316
01-494-NGUYEN THI HOA CUC(1-6)258,The right to avoid the international sale of goods contract: Comparison of Viet Nam to CISG and PICC,2024,10.22144/ctujoisd.2024.258,https://doi.org/10.22144/ctujoisd.2024.258
01-497-A-LUONG HUYNH VU THANH(1-10)014,Synthesis and application of Fe3O4/GO/PVP composite material for methylene blue adsorption,2023,10.22144/ctu.jen.2023.014,https://doi.org/10.22144/ctu.jen.2023.014
01-580-AG-NGUYEN MINH LY(1-7)001,Molecular identification of Ralstonia pseudosolanacearum causing bacterial wilt in tomatoes from Da Nang by using Colony PCR,2023,10.22144/ctu.jen.2023.001,https://doi.org/10.22144/ctu.jen.2023.001
01-590-Shola H. Awojide(1-11)046,Synergistic and antagonistic medicinal activities of essential oil of Monodora myristica,2023,10.22144/ctujoisd.2023.046,https://doi.org/10.22144/ctujoisd.2023.046
01-671-BUI CONG GIAO(1-11)029,Similarity join over multiple time series under Dynamic Time Warping,2023,10.22144/ctujoisd.2023.029,https://doi.org/10.22144/ctujoisd.2023.029
01-704-LE THI TU ANH(1-9)286,Resistance of Citrus species (Citrus spp.) to the root lesion nematode Pratylenchus sp,2024,10.22144/ctujoisd.2024.286,https://doi.org/10.22144/ctujoisd.2024.286
01-764-TRONG PHUOC HUYNH(1-7)274,Utilizing coal combustion bottom ash as a sustainable alternative to natural aggregate in eco-friendly building bricks,2024,10.22144/ctujoisd.2024.274,https://doi.org/10.22144/ctujoisd.2024.274
01-881-LE THI ANH THU(1-8)301,Removal of tetracycline antibiotic from aqueous solution using bimetallic CuCo-ZIFs as an efficient catalyst in the presence of hydrogen peroxide,2024,10.22144/ctujoisd.2024.301,https://doi.org/10.22144/ctujoisd.2024.301
01-AE-HO QUOC PHONG(1-5)36,BIODIESEL SYNTHESIS FROM ALGAE (Chlorella SP.) IN CONDITION OF SUBCRITICAL METHANOL,2016,10.22144/ctu.jen.2016.036,https://doi.org/10.22144/ctu.jen.2016.036
01-AE-NGUYEN HOANG DUNG(1-11)001,Controlling the external device in real-time using eeg brain signals based on eyes states,2021,10.22144/ctu.jen.2021.001,https://doi.org/10.22144/ctu.jen.2021.001
01-AF-DEDAN KARANJA NJIHIA(1-8)034,Growth and survival performance of G2 crossbreeds from two strains of bighead catfish (Clarias macrocephalus),2021,10.22144/ctu.jen.2021.034,https://doi.org/10.22144/ctu.jen.2021.034
01-AG-DANG THI HOANG OANH(1-7)018,"Antibacterial resistance of Vibrio parahaemolyticus isolated from shrimp farms located in east coastal region of the Mekong Delta, Viet Nam",2022,10.22144/ctu.jen.2022.018,https://doi.org/10.22144/ctu.jen.2022.018
01-AG-DINH THI CHI(1-6)017,"Synthesis and field examinations of the sex pheromone of the diamondback moth, Plutella xylostella Linnaeus (Lepidoptera: Plutellidae) in the Mekong Delta of Vietnam",2018,10.22144/ctu.jen.2018.017,https://doi.org/10.22144/ctu.jen.2018.017
01-AG-NGUYEN HONG UNG(1-7)032,Effectiveness of green muscardine fungus Metarhizium anisopliae and some insecticides on lesser coconut weevil Diocalandra frumenti Fabricius (Coleoptera: Curculionidae),2018,10.22144/ctu.jen.2018.032,https://doi.org/10.22144/ctu.jen.2018.032
01-AG-NGUYEN HUU HAO(1-10)032,"Applying AHP method and GIS to evaluate land suitability for paddy rice crop in Quang Xuong district, Thanh Hoa province",2019,10.22144/ctu.jen.2019.032,https://doi.org/10.22144/ctu.jen.2019.032
01-AG-NGUYEN NGOC BAO CHAU(1-6)001,Antifeedant activity of essential oil Lantana camara L. against Spodoptera litura Fabr. (Lepidoptera: Noctuidae) and Plutella xylostella Curtis (Lepidoptera: Plutellidae),2019,10.22144/ctu.jen.2019.001,https://doi.org/10.22144/ctu.jen.2019.001
01-AG-PHAN NGOC NHI(1-7),EFFECTS OF COLOR LED LIGHT INTENSITIES AND DIFFERENT PHOTOPERIOD REGIMES ON GROWTH OF HYDROPONIC LETTUCE (Latuca sativa L.),2016,,
01-AG-VO QUANG MINH(1-6),THE SOIL FERTILITY CLASSIFICATION AND CONSTRAINTS FOR RICE CULTIVATION IN THE MEKONG DELTA,2016,10.22144/ctu.jen.2016.016,https://doi.org/10.22144/ctu.jen.2016.016
01-AG-VU VAN LONG(1-10)001,"Effects of pre-sowing seed treatments on rice yield, grain quality and soil chemical properties in salt-affected soils",2022,10.22144/ctu.jen.2022.001,https://doi.org/10.22144/ctu.jen.2022.001
01-AV-LE TRINH CAM LAI(1-8)017,Antimicrobial resistance of Escherichia coli causing edema disease in post-weaning pigs in Vinh Long province,2019,10.22144/ctu.jen.2019.017,https://doi.org/10.22144/ctu.jen.2019.017
01-AV-NGUYEN THANH HAI(1-7)001,Efficacy of PCDairy application in optimal ration formulation for milking cows on milk productivity and quality,2020,10.22144/ctu.jen.2020.001,https://doi.org/10.22144/ctu.jen.2020.001
01-AV-PHAN VU HAI(1-6)018,The dietary supplement efficiency of essential oil of chive (Allium macrostemon) on the productivity and health performance of broilers,2020,10.22144/ctu.jen.2020.018,https://doi.org/10.22144/ctu.jen.2020.018
01-BUI LE DIEM TRANG(1-11)024,Adoption of task-based language teaching at a primary school in Viet Nam: A case study,2021,10.22144/ctu.jen.2021.024,https://doi.org/10.22144/ctu.jen.2021.024
01-CE-DO XUAN HAI(1-9)001,SUB-DISCIPLINARY VARIATION IN THE MOVE STRUCTURE OF ENGLISH-MEDIUM RESEARCH ARTICLE INTRODUCTIONS IN APPLIED LINGUISTICS,2017,10.22144/ctu.jen.2017.001,https://doi.org/10.22144/ctu.jen.2017.001
01-E1-DANG MINH HIEN(1-7)088,Enzymatic hydrolysis of pangasius belly protein by-product using for Bacillus subtilis cultivation,2018,10.22144/ctu.jsi.2018.088,https://doi.org/10.22144/ctu.jsi.2018.088
01-ED-LE THI HONG CAM(1-8)020,A Phenomenological study of challenges encountered by mountainous high school students in Vietnam,2017,10.22144/ctu.jen.2017.020,https://doi.org/10.22144/ctu.jen.2017.020
01-FI-LE THI HONG GAM(1-8)001,Effects of nitrite exposure on haematological parameters and growth in clown knifefish,2018,10.22144/ctu.jen.2018.001,https://doi.org/10.22144/ctu.jen.2018.001
01-FI-NGUYEN THI NGOC ANH(1-9),EFFECT OF DIFFERENT DRYING METHODS ON TOTAL LIPID AND FATTY ACID PROFILES OF DRIED Artemia franciscana BIOMASS,2015,,
01-NS-HUYNH NHU THAO(1-8)009,Docking belinostat into HDAC 8 using autodock tool,2020,10.22144/ctu.jen.2020.009,https://doi.org/10.22144/ctu.jen.2020.009
02-1131-VU MINH THANG(8-16)317,Demonstration of Grover's algorithm for retrieving secret keys in a basic SPN block cipher,2024,10.22144/ctujoisd.2024.317,https://doi.org/10.22144/ctujoisd.2024.317
02-547-ED-PHUONG HOANG YEN(8-21)002,Students' perceptions of using note-taking in consecutive interpreting assignments,2023,10.22144/ctu.jen.2023.002,https://doi.org/10.22144/ctu.jen.2023.002
02-553-A-JAKE GRACES(11-19)015,"Rural peoples' perception, attitude, and engagement on invasive alien plants in Mount Manunggal, Cebu Island, Philippines",2023,10.22144/ctu.jen.2023.015,https://doi.org/10.22144/ctu.jen.2023.015
02-604-TRUONG VAN XA(12-22)047,Effects of seed soaking and foliar spraying of Kalanchoe pinnata aqueous leaf extracts against rice bacterial leaf blight,2023,10.22144/ctujoisd.2023.047,https://doi.org/10.22144/ctujoisd.2023.047
02-612-PHAM KHANH HUYEN(7-15)267,The frequency of occurrence of fungal pathogens associated with water hyacinth (Eichhornia crassipes) in Ho Chi Minh City and its harmful effects on plants,2024,10.22144/ctujoisd.2024.267,https://doi.org/10.22144/ctujoisd.2024.267
