paper_id,source_url,doi
01-1108-NGO DUC LUU(1-7)316,https://doi.org/10.22144/ctujoisd.2024.316,10.22144/ctujoisd.2024.316
01-494-NGUYEN THI HOA CUC(1-6)258,https://doi.org/10.22144/ctujoisd.2024.258,10.22144/ctujoisd.2024.258
01-497-A-LUONG HUYNH VU THANH(1-10)014,https://doi.org/10.22144/ctu.jen.2023.014,10.22144/ctu.jen.2023.014
01-580-AG-NGUYEN MINH LY(1-7)001,https://doi.org/10.22144/ctu.jen.2023.001,10.22144/ctu.jen.2023.001
01-590-Shola H. Awojide(1-11)046,https://doi.org/10.22144/ctujoisd.2023.046,10.22144/ctujoisd.2023.046
01-671-BUI CONG GIAO(1-11)029,https://doi.org/10.22144/ctujoisd.2023.029,10.22144/ctujoisd.2023.029
01-704-LE THI TU ANH(1-9)286,https://doi.org/10.22144/ctujoisd.2024.286,10.22144/ctujoisd.2024.286
01-764-TRONG PHUOC HUYNH(1-7)274,https://doi.org/10.22144/ctujoisd.2024.274,10.22144/ctujoisd.2024.274
01-881-LE THI ANH THU(1-8)301,https://doi.org/10.22144/ctujoisd.2024.301,10.22144/ctujoisd.2024.301
01-AE-HO QUOC PHONG(1-5)36,https://doi.org/10.22144/ctu.jen.2016.036,10.22144/ctu.jen.2016.036
01-AE-NGUYEN HOANG DUNG(1-11)001,https://doi.org/10.22144/ctu.jen.2021.001,10.22144/ctu.jen.2021.001
01-AF-DEDAN KARANJA NJIHIA(1-8)034,https://doi.org/10.22144/ctu.jen.2021.034,10.22144/ctu.jen.2021.034
01-AG-DANG THI HOANG OANH(1-7)018,https://doi.org/10.22144/ctu.jen.2022.018,10.22144/ctu.jen.2022.018
01-AG-DINH THI CHI(1-6)017,https://doi.org/10.22144/ctu.jen.2018.017,10.22144/ctu.jen.2018.017
01-AG-NGUYEN HONG UNG(1-7)032,https://doi.org/10.22144/ctu.jen.2018.032,10.22144/ctu.jen.2018.032
01-AG-NGUYEN HUU HAO(1-10)032,https://doi.org/10.22144/ctu.jen.2019.032,10.22144/ctu.jen.2019.032
01-AG-NGUYEN NGOC BAO CHAU(1-6)001,https://doi.org/10.22144/ctu.jen.2019.001,10.22144/ctu.jen.2019.001
01-AG-PHAN NGOC NHI(1-7),,
01-AG-VO QUANG MINH(1-6),https://doi.org/10.22144/ctu.jen.2016.016,10.22144/ctu.jen.2016.016
01-AG-VU VAN LONG(1-10)001,https://doi.org/10.22144/ctu.jen.2022.001,10.22144/ctu.jen.2022.001
01-AV-LE TRINH CAM LAI(1-8)017,https://doi.org/10.22144/ctu.jen.2019.017,10.22144/ctu.jen.2019.017
01-AV-NGUYEN THANH HAI(1-7)001,https://doi.org/10.22144/ctu.jen.2020.001,10.22144/ctu.jen.2020.001
01-AV-PHAN VU HAI(1-6)018,https://doi.org/10.22144/ctu.jen.2020.018,10.22144/ctu.jen.2020.018
01-BUI LE DIEM TRANG(1-11)024,https://doi.org/10.22144/ctu.jen.2021.024,10.22144/ctu.jen.2021.024
01-CE-DO XUAN HAI(1-9)001,https://doi.org/10.22144/ctu.jen.2017.001,10.22144/ctu.jen.2017.001
01-E1-DANG MINH HIEN(1-7)088,https://doi.org/10.22144/ctu.jsi.2018.088,10.22144/ctu.jsi.2018.088
01-ED-LE THI HONG CAM(1-8)020,https://doi.org/10.22144/ctu.jen.2017.020,10.22144/ctu.jen.2017.020
01-FI-LE THI HONG GAM(1-8)001,https://doi.org/10.22144/ctu.jen.2018.001,10.22144/ctu.jen.2018.001
01-FI-NGUYEN THI NGOC ANH(1-9),,
01-NS-HUYNH NHU THAO(1-8)009,https://doi.org/10.22144/ctu.jen.2020.009,10.22144/ctu.jen.2020.009
02-1131-VU MINH THANG(8-16)317,https://doi.org/10.22144/ctujoisd.2024.317,10.22144/ctujoisd.2024.317
